feature,importance
content_stats_Periods_All_stats_2_stats_1_stats_len,0.0
content_stats_Periods_All_stats_2_stats_0_stats_len,0.0
content_stats_Periods_All_stats_2_stats_away_ratio,0.0
content_stats_Periods_All_stats_0_stats_0_stats_min,0.0
content_stats_Periods_All_stats_2_stats_home_away_diff,0.0
content_stats_Periods_All_stats_2_stats_away_count,0.0
content_stats_Periods_All_stats_2_stats_home_count,0.0
content_stats_Periods_All_stats_2_stats_total_count,0.0
content_stats_Periods_All_stats_3_stats_home_ratio,0.0
content_stats_Periods_All_stats_3_stats_home_away_diff,0.0
content_stats_Periods_All_stats_3_stats_away_count,0.0
content_stats_Periods_All_stats_3_stats_home_count,0.0
content_stats_Periods_All_stats_2_stats_4_stats_len,0.0
content_stats_Periods_All_stats_2_stats_3_stats_len,0.0
content_stats_Periods_All_stats_2_stats_2_stats_len,0.0
content_stats_Periods_All_stats_0_stats_0_stats_max,0.0
content_stats_Periods_All_stats_2_stats_home_ratio,0.0
content_lineup_awayTeam_starters_5_horizontalLayout_x,0.0
content_lineup_awayTeam_starters_5_verticalLayout_height,0.0
header_teams_away_ratio,0.0
header_teams_home_ratio,0.0
header_teams_home_away_diff,0.0
header_teams_away_count,0.0
header_teams_home_count,0.0
header_teams_total_count,0.0
content_lineup_awayTeam_starters_5_horizontalLayout_height,0.0
header_events_awayTeamGoals_Serdar_0_overloadTimeStr,0.0
content_lineup_awayTeam_starters_1_horizontalLayout_height,0.0
content_lineup_awayTeam_starters_2_horizontalLayout_height,0.0
content_stats_Periods_All_stats_1_stats_away_ratio,0.0
content_lineup_awayTeam_subs_0_performance_substitutionEvents_home_ratio,0.0
header_events_awayTeamGoals_Serdar_0_shotmapEvent_onGoalShot_y,0.0
